Date,symbol,ltp,high,low,open,close,ycp,trade,value,volume
2024-06-26,BRACBANK,34.6,34.9,34.5,34.9,34.6,34.5,295.0,93.254,2693594.0
2024-06-27,BRACBANK,34.8,34.8,34.6,34.7,34.8,34.6,351.0,53.642,1543378.0
2024-06-28,BRACBANK,34.8,34.8,34.6,34.7,34.8,34.6,351.0,53.642,1543378.0
2024-06-29,BRACBANK,34.8,34.8,34.6,34.7,34.8,34.6,351.0,53.642,1543378.0
2024-06-30,BRACBANK,34.3,34.8,33.8,34.4,34.3,34.8,393.0,23.057,667806.0
2024-07-01,BRACBANK,34.3,34.8,33.8,34.4,34.3,34.8,393.0,23.057,667806.0
2024-07-02,BRACBANK,34.5,34.8,34.0,34.0,34.5,34.3,249.0,51.945,1512327.0
2024-07-03,BRACBANK,34.7,34.8,34.4,34.7,34.7,34.5,225.0,13.166,380918.0
2024-07-04,BRACBANK,36.4,36.5,34.5,34.5,36.4,34.7,991.0,199.438,5635814.0
2024-07-05,BRACBANK,36.4,36.5,34.5,34.5,36.4,34.7,991.0,199.438,5635814.0
2024-07-06,BRACBANK,36.4,36.5,34.5,34.5,36.4,34.7,991.0,199.438,5635814.0
2024-07-07,BRACBANK,36.9,37.3,36.1,36.4,36.9,36.4,1146.0,85.85,2334689.0
2024-07-08,BRACBANK,36.6,37.2,36.4,36.9,36.6,36.9,477.0,87.249,2384376.0
2024-07-09,BRACBANK,36.6,37.0,36.1,36.7,36.6,36.6,501.0,40.455,1107908.0
2024-07-10,BRACBANK,36.8,37.3,36.6,36.9,36.8,36.6,1036.0,88.429,2398636.0
2024-07-11,BRACBANK,36.7,37.3,36.4,36.9,36.7,36.8,880.0,105.396,2856657.0
2024-07-12,BRACBANK,36.7,37.3,36.4,36.9,36.7,36.8,880.0,105.396,2856657.0
2024-07-13,BRACBANK,36.7,37.3,36.4,36.9,36.7,36.8,880.0,105.396,2856657.0
2024-07-14,BRACBANK,36.6,37.1,36.3,37.1,36.6,36.7,501.0,26.744,732425.0
2024-07-15,BRACBANK,36.6,36.7,36.4,36.7,36.6,36.6,395.0,33.535,916572.0
2024-07-16,BRACBANK,37.0,37.1,36.4,36.9,37.0,36.6,381.0,23.825,646406.0
2024-07-17,BRACBANK,37.0,37.1,36.4,36.9,37.0,36.6,381.0,23.825,646406.0
2024-07-18,BRACBANK,39.1,40.7,36.5,37.4,39.1,37.0,1191.0,69.36,1808887.0
2024-07-19,BRACBANK,39.1,40.7,36.5,37.4,39.1,37.0,1191.0,69.36,1808887.0
2024-07-20,BRACBANK,39.1,40.7,36.5,37.4,39.1,37.0,1191.0,69.36,1808887.0
2024-07-21,BRACBANK,39.1,40.7,36.5,37.4,39.1,37.0,1191.0,69.36,1808887.0
2024-07-22,BRACBANK,39.1,40.7,36.5,37.4,39.1,37.0,1191.0,69.36,1808887.0
2024-07-23,BRACBANK,39.1,40.7,36.5,37.4,39.1,37.0,1191.0,69.36,1808887.0
2024-07-24,BRACBANK,38.0,39.0,38.0,38.0,38.0,39.1,164.0,45.233,1190166.0
2024-07-25,BRACBANK,38.1,39.0,37.5,37.5,38.1,38.0,1062.0,87.401,2299149.0
2024-07-26,BRACBANK,38.1,39.0,37.5,37.5,38.1,38.0,1062.0,87.401,2299149.0
2024-07-27,BRACBANK,38.1,39.0,37.5,37.5,38.1,38.0,1062.0,87.401,2299149.0
2024-07-28,BRACBANK,37.7,38.8,37.5,38.8,37.7,38.1,411.0,38.635,1019588.0
2024-07-29,BRACBANK,37.5,37.7,37.1,37.7,37.5,37.7,510.0,120.536,3219124.0
2024-07-30,BRACBANK,37.2,37.6,37.0,37.6,37.2,37.5,360.0,38.67,1037985.0
2024-07-31,BRACBANK,37.1,37.3,36.9,37.2,37.1,37.2,355.0,39.884,1075176.0
2024-08-01,BRACBANK,37.4,37.8,36.8,37.8,37.4,37.1,334.0,34.417,926008.0
2024-08-02,BRACBANK,37.4,37.8,36.8,37.8,37.4,37.1,334.0,34.417,926008.0
2024-08-03,BRACBANK,37.4,37.8,36.8,37.8,37.4,37.1,334.0,34.417,926008.0
2024-08-04,BRACBANK,36.3,36.7,36.3,36.7,36.3,37.4,129.0,2.052,56512.0
2024-08-05,BRACBANK,36.3,36.7,36.3,36.7,36.3,37.4,129.0,2.052,56512.0
2024-08-06,BRACBANK,39.3,39.9,36.6,36.6,38.9,36.3,1346.0,152.196,3867789.0
2024-08-07,BRACBANK,42.7,42.7,40.5,40.5,42.7,38.9,1494.0,119.377,2857016.0
2024-08-08,BRACBANK,46.9,46.9,43.1,45.9,46.9,42.7,1718.0,290.249,6225172.0
2024-08-09,BRACBANK,46.9,46.9,43.1,45.9,46.9,42.7,1718.0,290.249,6225172.0
2024-08-10,BRACBANK,46.9,46.9,43.1,45.9,46.9,42.7,1718.0,290.249,6225172.0
2024-08-11,BRACBANK,49.6,51.5,47.3,50.9,49.6,46.9,3810.0,608.096,12000789.0
2024-08-12,BRACBANK,48.2,52.7,48.2,50.0,48.2,49.6,3370.0,492.863,9975915.0
2024-08-13,BRACBANK,49.8,50.2,46.8,48.2,49.8,48.2,3837.0,538.812,11056486.0
2024-08-14,BRACBANK,54.4,54.6,50.5,50.5,54.4,49.8,5411.0,724.9,13628632.0
2024-08-15,BRACBANK,53.1,56.3,52.9,54.8,53.1,54.4,5182.0,677.356,12489257.0
2024-08-16,BRACBANK,53.1,56.3,52.9,54.8,53.1,54.4,5182.0,677.356,12489257.0
2024-08-17,BRACBANK,53.1,56.3,52.9,54.8,53.1,54.4,5182.0,677.356,12489257.0
2024-08-18,BRACBANK,51.6,53.4,51.6,53.0,51.6,53.1,2034.0,216.574,4167382.0
2024-08-19,BRACBANK,52.1,53.4,50.7,52.0,52.1,51.6,4314.0,754.916,14365186.0
2024-08-20,BRACBANK,52.4,53.2,51.5,53.0,52.4,52.1,2416.0,370.008,7041334.0
2024-08-21,BRACBANK,51.2,52.5,50.9,52.5,51.2,52.4,2374.0,403.19,7895067.0
2024-08-22,BRACBANK,53.2,53.4,50.7,51.0,53.2,51.2,2831.0,369.175,7025830.0
2024-08-23,BRACBANK,53.2,53.4,50.7,51.0,53.2,51.2,2831.0,369.175,7025830.0
2024-08-24,BRACBANK,53.2,53.4,50.7,51.0,53.2,51.2,2831.0,369.175,7025830.0
2024-08-25,BRACBANK,52.4,54.2,52.1,53.3,52.4,53.2,2068.0,205.174,3894131.0
2024-08-26,BRACBANK,52.4,54.2,52.1,53.3,52.4,53.2,2068.0,205.174,3894131.0
2024-08-27,BRACBANK,52.6,53.0,51.2,52.5,52.6,52.4,1594.0,167.005,3207767.0
2024-08-28,BRACBANK,53.5,54.1,52.5,52.7,53.5,52.6,2654.0,475.801,8886279.0
2024-08-29,BRACBANK,53.6,54.1,53.0,53.2,53.6,53.5,1645.0,263.184,4891966.0
2024-08-30,BRACBANK,53.6,54.1,53.0,53.2,53.6,53.5,1645.0,263.184,4891966.0
2024-08-31,BRACBANK,53.6,54.1,53.0,53.2,53.6,53.5,1645.0,263.184,4891966.0
2024-09-01,BRACBANK,53.8,54.0,52.8,53.6,53.6,53.6,1503.0,200.8,3765198.0
2024-09-02,BRACBANK,57.5,58.9,53.6,53.6,57.5,53.6,5929.0,852.654,15151593.0
2024-09-03,BRACBANK,56.7,58.1,56.2,58.0,56.7,57.5,2732.0,341.895,5972470.0
2024-09-04,BRACBANK,55.9,56.7,55.6,56.7,55.9,56.7,2615.0,475.948,8487632.0
2024-09-05,BRACBANK,56.2,56.6,55.2,56.2,56.2,55.9,1851.0,147.515,2636129.0
2024-09-06,BRACBANK,56.2,56.6,55.2,56.2,56.2,55.9,1851.0,147.515,2636129.0
2024-09-07,BRACBANK,56.2,56.6,55.2,56.2,56.2,55.9,1851.0,147.515,2636129.0
2024-09-08,BRACBANK,56.7,58.0,56.4,56.5,56.7,56.2,2692.0,280.285,4908214.0
2024-09-09,BRACBANK,56.3,57.4,56.0,56.3,56.3,56.7,1773.0,170.885,3018273.0
2024-09-10,BRACBANK,56.4,56.8,55.9,56.8,56.4,56.3,1537.0,217.261,3862055.0
2024-09-11,BRACBANK,56.0,56.9,55.8,56.8,56.0,56.4,1270.0,126.357,2252322.0
2024-09-12,BRACBANK,55.2,56.2,55.1,56.0,55.2,56.0,1609.0,176.653,3182049.0
2024-09-13,BRACBANK,55.2,56.2,55.1,56.0,55.2,56.0,1609.0,176.653,3182049.0
2024-09-14,BRACBANK,55.2,56.2,55.1,56.0,55.2,56.0,1609.0,176.653,3182049.0
2024-09-15,BRACBANK,54.5,55.4,54.4,55.2,54.5,55.2,1536.0,138.637,2534248.0
2024-09-16,BRACBANK,54.5,55.4,54.4,55.2,54.5,55.2,1536.0,138.637,2534248.0
2024-09-17,BRACBANK,53.9,54.8,53.8,54.3,53.9,54.5,1100.0,97.513,1801717.0
2024-09-18,BRACBANK,54.6,54.9,53.7,54.5,54.6,53.9,1355.0,223.56,4100767.0
2024-09-19,BRACBANK,54.9,55.4,54.7,54.9,54.9,54.6,1477.0,111.451,2024347.0
2024-09-20,BRACBANK,54.9,55.4,54.7,54.9,54.9,54.6,1477.0,111.451,2024347.0
2024-09-21,BRACBANK,54.9,55.4,54.7,54.9,54.9,54.6,1477.0,111.451,2024347.0
2024-09-22,BRACBANK,55.6,56.4,55.0,55.0,55.6,54.9,2114.0,171.021,3067243.0
2024-09-23,BRACBANK,56.3,56.4,55.5,56.0,56.3,55.6,2514.0,441.54,7893216.0
2024-09-24,BRACBANK,56.2,57.5,55.6,56.6,56.2,56.3,2646.0,409.333,7269916.0
2024-09-25,BRACBANK,56.7,58.2,56.4,56.5,56.7,56.2,6377.0,1138.285,19878967.0
